code,name,level,ward
mntuoingoc-binhthoi,Mầm non 9,mn,phuongbinhthoi
thhanhainguyen,Tiểu Học Hàn Hải Nguyên,th,phuongbinhthoi
thlaclongqq11,Tiểu Học Lạc Long Quân,th,phuongbinhthoi
thnguyenbangocq11,Tiểu Học Nguyễn Bá Ngọc,th,phuongbinhthoi
thphunghung,Tiểu Học Phùng Hưng,th,phuongbinhthoi
thvietmyq11,Tiểu Học Việt Mỹ,th,phuongbinhthoi
thcschuvananq11,THCS Chu Văn An,thcs,phuongbinhthoi
thcsnguyenvanphu,THCS Nguyễn Văn Phú,thcs,phuongbinhthoi
thcsvietmy,Trường Trung học Cơ sở Việt Mỹ,thcs,phuongbinhthoi
mnngoisao-binhtien,Mầm non Ngôi Sao,mn,phuongbinhtien
mnrangdong1,Mầm non Rạng Đông 1,mn,phuongbinhtien
mnrangdong3,Mầm non Rạng Đông 3,mn,phuongbinhtien
mnrangdong4,Mầm non Rạng Đông 4,mn,phuongbinhtien
mnrangdong7,Mầm non Rạng Đông 7,mn,phuongbinhtien
thhungvuongq6,Tiểu Học Hùng Vương,th,phuongbinhtien
thkimdongq6,Tiểu Học Kim Đồng,th,phuongbinhtien
thnguyenhueq6,Tiểu Học Nguyễn Huệ,th,phuongbinhtien
thnhattaoq6,Tiểu Học Nhật Tảo,th,phuongbinhtien
thphamvanchi,Tiểu Học Phạm Văn Chí,th,phuongbinhtien
thvinhxuyen,Tiểu Học Vĩnh Xuyên,th,phuongbinhtien
thcsbinhtay,THCS Bình Tây,thcs,phuongbinhtien
thcsphamdinhho,THCS Phạm Đình Hổ,thcs,phuongbinhtien
thcsvanthan,THCS Văn Thân,thcs,phuongbinhtien
lopmamnon-binhphu,Lớp Mầm non Phường Bình Phú,mn,phuongbinhtridong
mnbinhtridong,Mầm Non Bình Trị Đông,mn,phuongbinhtridong
mncamtu,Mầm non Cẩm Tú,mn,phuongbinhtridong
mnkhuvuontritue,Trường Mầm non Khu Vườn Trí Tuệ,mn,phuongbinhtridong
thbinhtri1,Tiểu Học Bình Trị 1,th,phuongbinhtridong
thbinhtridong,Tiểu Học Bình Trị Đông,th,phuongbinhtridong
thbinhtridonga,Tiểu Học Bình Trị Đông A,th,phuongbinhtridong
thnguyencongtrubt,Tiểu học Nguyễn Công Trứ,th,phuongbinhtridong
ththoaingochau,Tiểu học Thoại Ngọc Hầu,th,phuongbinhtridong
thtrannhantong,Tiểu học Trần Nhân Tông,th,phuongbinhtridong
thcsbinhtridong,THCS Bình Trị Đông,thcs,phuongbinhtridong
thcsbinhtridonga,THCS Bình Trị Đông A,thcs,phuongbinhtridong
thcslythuongkietbinhtan,THCS Lý Thường Kiệt,thcs,phuongbinhtridong
mncatlai,Mầm non Cát Lái,mn,phuongcatlai
mnhoahongq2,Mầm non Hoa Hồng 1,mn,phuongcatlai
mnhoasenq2,Mầm non Hoa Sen 1,mn,phuongcatlai
mnsonca-catlai,Mầm non Sơn Ca 1,mn,phuongcatlai
mnthanhmyloi,Mầm non Thạnh Mỹ Lợi,mn,phuongcatlai
theschooltml,TH E-School-Thạnh Mỹ Lợi,th,phuongcatlai
thluongthevinhq2,Tiểu Học Lương Thế Vinh,th,phuongcatlai
thmythuy,Tiểu Học Mỹ Thủy,th,phuongcatlai
ththanhmyloi,Tiểu Học Thạnh Mỹ Lợi,th,phuongcatlai
th-thcscatlai,TH-THCS Cát Lái,thcs,phuongcatlai
th-thcsthanhmyloi,Trường TH-THCS Thạnh Mỹ Lợi,thcs,phuongcatlai
thcsluongdinhcua,THCS Lương Định Của,thcs,phuongcatlai
thcsngoitruongemthanhmyloi,THCS Ngôi Trường Em Thạnh Mỹ Lợi,thcs,phuongcatlai
thcsnguyenthidinh,THCS Nguyễn Thị Định,thcs,phuongcatlai
mncaukieu,Trường Mầm non Cầu Kiệu,mn,phuongcaukieu
mnsonca7phunhuan,Mầm non Sơn Ca 7,mn,phuongcaukieu
thtrungnhat,Trường Tiểu học Trung Nhất,th,phuongcaukieu
thcsbcchauvanliem,THCS Châu Văn Liêm,thcs,phuongcaukieu
thcscaukieu,THCS Cầu Kiệu,thcs,phuongcaukieu
mn20thang10,Trường Mầm non 20/10,mn,phuongcauonglanh
mncogiang,Mầm non Cô Giang,mn,phuongcauonglanh
mnhoalanq1,Mầm non Hoa Lan,mn,phuongcauonglanh
mnnguyencutrinh,Mầm non Nguyễn Cư Trinh,mn,phuongcauonglanh
thchuongduongq1,Trường Tiểu học Chương Dương,th,phuongcauonglanh
thluongthevinhq1,Tiểu Học Lương Thế Vinh,th,phuongcauonglanh
thphanvantriq1,Tiểu Học Phan Văn Trị Quận 1,th,phuongcauonglanh
thtranhungdao,Tiểu Học Trần Hưng Đạo,th,phuongcauonglanh
thcschuvananq1,THCS Chu Văn An,thcs,phuongcauonglanh
thcsductriq1,THCS Đức Trí,thcs,phuongcauonglanh
thcsminhduc,THCS Minh Đức,thcs,phuongcauonglanh
lopmamnon-chanhhung,Lớp Mầm non Phường Chánh Hưng,mn,phuongchanhhung
mnbinhminhq8,MẦM NON BÌNH MINH,mn,phuongchanhhung
mnhoamai-chanhhung,Trường Mầm non Hoa Mai,mn,phuongchanhhung
mnnangmai,Mầm non Nắng Mai,mn,phuongchanhhung
mntuoihoaq8,Mầm non Tuổi Hoa,mn,phuongchanhhung
mnvanganhq8,Mầm non Vàng Anh,mn,phuongchanhhung
