code,name,level,ward
mnngoclanbinhchanh,Mầm non Ngọc Lan,mn,xahunglong
mnphonglanbinhchanh,Mầm non Phong Lan,mn,xahunglong
mnquynhanhbc,Mầm non Quỳnh Anh,mn,xahunglong
thhunglong,Tiểu Học Hưng Long,th,xahunglong
thnguyenvantran,Tiểu Học Nguyễn Văn Trân,th,xahunglong
thquiduc,Trường Tiểu Học Qui Đức,th,xahunglong
thrachgiabc,Tiểu học Rạch Già,th,xahunglong
thcsdaphuoc,THCS Đa Phước,thcs,xahunglong
thcshunglong,THCS Hưng Long,thcs,xahunglong
thcsquiduc,THCS Qui Đức,thcs,xahunglong
mamnontuoingoc,Trường Mầm non Tuổi Ngọc,mn,xakimlong
chuongnhophuclongnb,Mầm non Chú Ong Nhỏ Phúc Long,mn,xanhabe
mnhoaminhabe,Mầm non Hoạ Mi,mn,xanhabe
mnmanonnhabe,Mầm non Mạ Non,mn,xanhabe
mnnhabe,Trường Mầm non Nhà Bè,mn,xanhabe
mnphuxuan,Trường Mầm non Phú Xuân,mn,xanhabe
mnvanganh,Mầm non Vàng Anh,mn,xanhabe
mnvanhkhuyennhabe,Mầm non Vành Khuyên,mn,xanhabe
saovietnb,Trường Mầm Non Sao Việt Nhà Bè,mn,xanhabe
thbuithanhkhiet,Tiểu Học Bùi Thanh Khiết,th,xanhabe
thbuivanba,Tiểu Học Bùi Văn Ba,th,xanhabe
thlamvanben,Tiểu Học Lâm Văn Bền,th,xanhabe
thlequangdinh,Tiểu Học Lê Quang Định,th,xanhabe
thnguyenbinh,Tiểu Học Nguyễn Bình,th,xanhabe
thnguyenhongthe,Tiểu học Nguyễn Hồng Thế,th,xanhabe
thnguyentrucnhabe,Tiểu Học Nguyễn Trực,th,xanhabe
thnguyenviethongnhabe,Tiểu học Nguyễn Việt Hồng,th,xanhabe
thtauyennhabe,Tiểu Học Tạ Uyên,th,xanhabe
thtranthingochan,Tiểu Học Trần Thị Ngọc Hân,th,xanhabe
thcslethanhcong,THCS Lê Thành Công,thcs,xanhabe
thcslevanhuu,THCS Lê Văn Hưu,thcs,xanhabe
thcsnguyenbinhkhiemnhabe,THCS Nguyễn Bỉnh Khiêm,thcs,xanhabe
thcsnguyenthihuong,THCS Nguyễn Thị Hương,thcs,xanhabe
thcsnguyenvanquy,THCS Nguyễn Văn Quỳ,thcs,xanhabe
thcsphuocloc,THCS Phước Lộc,thcs,xanhabe
mnnhuanduc,Mầm non Nhuận Đức,mn,xanhuanduc
mnphamvancoi1,Mầm non Phạm Văn Cội 1,mn,xanhuanduc
mnphamvancoi2,Mầm non Phạm Văn Cội 2,mn,xanhuanduc
mntrunglapha,Mầm non Trung Lập Hạ,mn,xanhuanduc
thlevanthe,Tiểu Học Lê Văn Thế,th,xanhuanduc
thnhuanduc,Tiểu Học Nhuận Đức,th,xanhuanduc
thnhuanduc2,Trường Tiểu Học Nhuận Đức 2,th,xanhuanduc
thphamvancoi,Tiểu Học Phạm Văn Cội,th,xanhuanduc
thtrunglapha,Tiểu Học Trung Lập Hạ,th,xanhuanduc
thcsnhuanduc,THCS Nhuận Đức,thcs,xanhuanduc
thcstrunglapha,THCS Trung Lập Hạ,thcs,xanhuanduc
mnphuochiep,Mầm non Phước Hiệp,mn,xatananhoi
mntananhoi1,Mầm non Tân An Hội 1,mn,xatananhoi
mntananhoi2,Mầm non Tân An Hội 2,mn,xatananhoi
mntaybac,Mầm non Tây Bắc,mn,xatananhoi
mnthitrancuchi1,Mầm non Thị Trấn Củ Chi 1,mn,xatananhoi
mnthitrancuchi2,Mầm non Thị Trấn Củ Chi 2,mn,xatananhoi
mnthitrancuchi3,Mầm non Thị Trấn Củ Chi 3,mn,xatananhoi
ndtekhuyettatcuchi,Nuôi dạy Trẻ em Khuyết Tật Củ Chi,th,xatananhoi
thhuynhvanco,Tiểu học Huỳnh Văn Cọ,th,xatananhoi
thlethipha,Tiểu Học Lê Thị Pha,th,xatananhoi
thnguyenthiranh,TH Nguyễn Thị Rành,th,xatananhoi
thnguyenvanlichcuchi,Tiểu Học Nguyễn Văn Lịch,th,xatananhoi
thphuochiep,Tiểu Học Phước Hiệp,th,xatananhoi
thtanthanh,Tiểu Học Tân Thành,th,xatananhoi
ththitran2,Tiểu Học Thị Trấn 2,th,xatananhoi
ththitrancuchi,Tiểu Học Thị Trấn Củ Chi,th,xatananhoi
thcsphuochiep,THCS Phước Hiệp,thcs,xatananhoi
thcstananhoi,THCS Tân An Hội,thcs,xatananhoi
thcsthitran2,THCS Thị Trấn 2,thcs,xatananhoi
mnbabybinhchanh,Mầm non BaBy,mn,xatannhut
mnhoaanhdaobinhchanh,Mầm non Hoa Anh Đào,mn,xatannhut
mnhoanganh2bc,Mầm non Hoàng Anh 2,mn,xatannhut
mnhoanganhbinhchanh,Mầm non Hoàng Anh,mn,xatannhut
thluongthevinhbc,TH Lương Thế Vinh,th,xatannhut
thnguyencuuphu,Tiểu học Nguyễn Cữu Phú,th,xatannhut
thtankien,Tiểu Học Tân Kiên,th,xatannhut
thtannhut,Tiểu Học Tân Nhựt,th,xatannhut
thtannhut6,Tiểu Học Tân Nhựt 6,th,xatannhut
thtantuc,Tiểu Học Tân Túc,th,xatannhut
thtantuc2,Trường Tiểu học Tân Túc 2,th,xatannhut
thcsnguyenhuutri,THCS Nguyễn Hữu Trí,thcs,xatannhut
thcstankien,THCS Tân Kiên,thcs,xatannhut
thcstannhut,THCS Tân Nhựt,thcs,xatannhut
thcstantuc,THCS Tân Túc,thcs,xatannhut
mn30thang4binhchanh,Mầm non 30 tháng 4,mn,xatanvinhloc
mnhoathienly1,Mầm non Hoa Thiên Lý 1,mn,xatanvinhloc
mnhoathienly2,MN Hoa Thiên Lý 2,mn,xatanvinhloc
mnhoathienlybinhchanh,Mầm non Hoa Thiên Lý,mn,xatanvinhloc
mnquynhhuong2,Mầm non Quỳnh Hương 2,mn,xatanvinhloc
mnquynhhuongbinhchanh,Mầm non Quỳnh Hương,mn,xatanvinhloc
thanha,Tiểu Học An Hạ,th,xatanvinhloc
thlaihungcuong,Trường Tiểu Học Lại Hùng Cường,th,xatanvinhloc
thphamvanhaibinhchanh,Tiểu Học Phạm Văn Hai,th,xatanvinhloc
thtranquoctoanbinhchanh,Tiểu Học Trần Quốc Toản,th,xatanvinhloc
thvinhlocb,Tiểu Học Vĩnh Lộc B,th,xatanvinhloc
thvovanvan,Tiểu Học Võ Văn Vân,th,xatanvinhloc
thcsphamvanhai,THCS Phạm Văn Hai,thcs,xatanvinhloc
thcsvinhlocb,THCS Vĩnh Lộc B,thcs,xatanvinhloc
thcsvovanvan,THCS Võ Văn Vân,thcs,xatanvinhloc
mnphuocthanh,Mầm non Phước Thạnh,mn,xathaimy
mnthaimy,Mầm non Thái Mỹ,mn,xathaimy
mntrunglapthuong,Mầm non Trung Lập Thượng,mn,xathaimy
mntuongvicuchi,TRƯỜNG MẦM NON TƯỜNG VI,mn,xathaimy
thanphuoc,Tiểu Học An Phước,th,xathaimy
thphuocthanhcuchi,Tiểu Học Phước Thạnh,th,xathaimy
ththaimy,Tiểu Học Thái Mỹ,th,xathaimy
thtrunglapthuong,Tiểu học Trung Lập Thượng,th,xathaimy
th-thcstrunglapthuong,TH-THCS Trung Lập Thượng,thcs,xathaimy
thcsnguyenvanxo,THCS Nguyễn Văn Xơ,thcs,xathaimy
thcsphuocthanh,THCS Phước Thạnh,thcs,xathaimy
mnthanhancangio,Mầm non Thạnh An,mn,xathanhan
mn19thang8,Mầm non 19 tháng 8,mn,xaxuanthoison
mncuchoami,Mầm non Cúc Họa Mi,mn,xaxuanthoison
mnhuongduonghocmon,Mầm non Hướng Dương,mn,xaxuanthoison
mnnhixuan,Mầm non Nhị Xuân,mn,xaxuanthoison
mnrangdonghocmon,TRƯỜNG MẦM NON TƯ THỤC RẠNG ĐÔNG,mn,xaxuanthoison
mnxuanthoidong,Mầm non Xuân Thới Đông,mn,xaxuanthoison
thduongcongkhi,Tiểu Học Dương Công Khi,th,xaxuanthoison
thlevanphien,Tiểu học Lê Văn Phiên,th,xaxuanthoison
thlychinhthang2,Tiểu Học Lý Chính Thắng 2,th,xaxuanthoison
thnhitan,Tiểu Học Nhị Tân,th,xaxuanthoison
thnhixuan,Tiểu Học Nhị Xuân,th,xaxuanthoison
thtanxuan,Tiểu Học Tân Xuân,th,xaxuanthoison
thtranvanmuoi,Tiểu Học Trần Văn Mười,th,xaxuanthoison
th-thcstauyen,Trường TH-THCS Tạ Uyên,thcs,xaxuanthoison
thcslychinhthang1,THCS Lý ChÍnh Thắng 1,thcs,xaxuanthoison
thcsnguyenhongdao,THCS Nguyễn Hồng Đào,thcs,xaxuanthoison
thcstanxuan,THCS Tân Xuân,thcs,xaxuanthoison
